Dataset,rank,source,target,source_index,target_index,hedges_g,absolute_hedges_g
ABIDE-I,49,ROI_057,ROI_058,56,57,-0.33020624780229313,0.33020624780229313
ABIDE-I,50,ROI_082,ROI_077,81,76,0.32920667645398544,0.32920667645398544
ABIDE-I,51,ROI_021,ROI_078,20,77,-0.3264101967288921,0.3264101967288921
ABIDE-I,52,ROI_028,ROI_003,27,2,-0.32433807482724386,0.32433807482724386
ABIDE-I,53,ROI_078,ROI_018,77,17,0.3240671033320293,0.3240671033320293
ABIDE-I,54,ROI_031,ROI_088,30,87,-0.3232378149634659,0.3232378149634659
ABIDE-I,55,ROI_014,ROI_024,13,23,0.32308921074765434,0.32308921074765434
ABIDE-I,56,ROI_014,ROI_028,13,27,0.3217385124389962,0.3217385124389962
ABIDE-I,57,ROI_075,ROI_081,74,80,0.31772654605061973,0.31772654605061973
ABIDE-I,58,ROI_069,ROI_057,68,56,-0.31662466598163475,0.31662466598163475
ABIDE-I,59,ROI_074,ROI_070,73,69,0.31627559594434085,0.31627559594434085
ABIDE-I,60,ROI_039,ROI_089,38,88,0.3147028289674548,0.3147028289674548
ABIDE-I,61,ROI_090,ROI_052,89,51,-0.3139026859535348,0.3139026859535348
ABIDE-I,62,ROI_058,ROI_078,57,77,0.313466898176086,0.313466898176086
ABIDE-I,63,ROI_068,ROI_028,67,27,-0.31323893329601565,0.31323893329601565
ABIDE-I,64,ROI_038,ROI_031,37,30,-0.3125707918968421,0.3125707918968421
ABIDE-I,65,ROI_016,ROI_090,15,89,0.31254902840762133,0.31254902840762133
ABIDE-I,66,ROI_032,ROI_038,31,37,-0.3118062948668744,0.3118062948668744
ABIDE-I,67,ROI_076,ROI_056,75,55,0.3115610983637141,0.3115610983637141
ABIDE-I,68,ROI_086,ROI_051,85,50,-0.3112185130408215,0.3112185130408215
ABIDE-I,69,ROI_081,ROI_075,80,74,0.31117711050253916,0.31117711050253916
ABIDE-I,70,ROI_051,ROI_086,50,85,-0.3110841543197034,0.3110841543197034
ABIDE-I,71,ROI_024,ROI_014,23,13,0.3104739120720862,0.3104739120720862
ABIDE-I,72,ROI_057,ROI_069,56,68,-0.3102707372325106,0.3102707372325106
ABIDE-I,73,ROI_028,ROI_014,27,13,0.3096781386823001,0.3096781386823001
ABIDE-I,74,ROI_068,ROI_088,67,87,-0.3096631326937853,0.3096631326937853
ABIDE-I,75,ROI_088,ROI_068,87,67,-0.30954816463846113,0.30954816463846113
ABIDE-I,76,ROI_026,ROI_032,25,31,-0.30942702064254324,0.30942702064254324
ABIDE-I,77,ROI_068,ROI_025,67,24,-0.30900096914542213,0.30900096914542213
ABIDE-I,78,ROI_088,ROI_031,87,30,-0.3089251652183721,0.3089251652183721
ABIDE-I,79,ROI_016,ROI_026,15,25,0.3086426086704049,0.3086426086704049
ABIDE-I,80,ROI_009,ROI_089,8,88,-0.3078896502512674,0.3078896502512674
ABIDE-I,81,ROI_068,ROI_061,67,60,0.30773154776236683,0.30773154776236683
ABIDE-I,82,ROI_089,ROI_038,88,37,0.30756085454870347,0.30756085454870347
ABIDE-I,83,ROI_018,ROI_078,17,77,0.30737421697689277,0.30737421697689277
ABIDE-I,84,ROI_046,ROI_086,45,85,-0.3051659263156413,0.3051659263156413
ABIDE-I,85,ROI_074,ROI_082,73,81,0.30370052851211504,0.30370052851211504
ABIDE-I,86,ROI_038,ROI_088,37,87,0.30364446631313124,0.30364446631313124
ABIDE-I,87,ROI_081,ROI_036,80,35,0.3035688221846571,0.3035688221846571
ABIDE-I,88,ROI_074,ROI_088,73,87,0.3033423612521808,0.3033423612521808
ABIDE-I,89,ROI_052,ROI_090,51,89,-0.30260674246608316,0.30260674246608316
ABIDE-I,90,ROI_089,ROI_039,88,38,0.30181757077261956,0.30181757077261956
ABIDE-I,91,ROI_075,ROI_085,74,84,0.30160840553706336,0.30160840553706336
ABIDE-I,92,ROI_026,ROI_067,25,66,-0.30154571580954515,0.30154571580954515
ABIDE-I,93,ROI_077,ROI_017,76,16,0.3009829895775095,0.3009829895775095
ABIDE-I,94,ROI_076,ROI_085,75,84,0.3008110034300385,0.3008110034300385
ABIDE-I,95,ROI_026,ROI_031,25,30,-0.30069961743989004,0.30069961743989004
ABIDE-I,96,ROI_079,ROI_078,78,77,0.3000535334106319,0.3000535334106319
ABIDE-I,97,ROI_077,ROI_058,76,57,0.29955870331985246,0.29955870331985246
ABIDE-I,98,ROI_078,ROI_072,77,71,-0.29911021065355603,0.29911021065355603
ABIDE-I,99,ROI_026,ROI_078,25,77,-0.2991077164036573,0.2991077164036573
ABIDE-I,100,ROI_014,ROI_026,13,25,0.2986397057040427,0.2986397057040427
ABIDE-I,101,ROI_012,ROI_058,11,57,0.29832066686235414,0.29832066686235414
ABIDE-I,102,ROI_038,ROI_089,37,88,0.2980425013512551,0.2980425013512551
ABIDE-I,103,ROI_005,ROI_077,4,76,-0.2978456320752985,0.2978456320752985
ABIDE-I,104,ROI_021,ROI_015,20,14,0.2978357253599685,0.2978357253599685
ABIDE-I,105,ROI_037,ROI_086,36,85,0.29701787007380054,0.29701787007380054
ABIDE-I,106,ROI_088,ROI_003,87,2,-0.29682802805707376,0.29682802805707376
ABIDE-I,107,ROI_079,ROI_077,78,76,0.2966043143549535,0.2966043143549535
ABIDE-I,108,ROI_078,ROI_077,77,76,-0.2963588987866063,0.2963588987866063
ABIDE-I,109,ROI_003,ROI_088,2,87,-0.296010698699359,0.296010698699359
ABIDE-I,110,ROI_051,ROI_090,50,89,-0.29592342002142813,0.29592342002142813
ABIDE-I,111,ROI_070,ROI_001,69,0,-0.2955889362283644,0.2955889362283644
ABIDE-I,112,ROI_076,ROI_086,75,85,0.29541470155167254,0.29541470155167254
ABIDE-I,113,ROI_014,ROI_086,13,85,0.29516432992416697,0.29516432992416697
ABIDE-I,114,ROI_074,ROI_086,73,85,0.29371760346214515,0.29371760346214515
ABIDE-I,115,ROI_014,ROI_073,13,72,-0.29337953085529755,0.29337953085529755
ABIDE-I,116,ROI_077,ROI_057,76,56,0.29308696921535327,0.29308696921535327
ABIDE-I,117,ROI_076,ROI_079,75,78,0.29232735470963916,0.29232735470963916
ABIDE-I,118,ROI_058,ROI_012,57,11,0.2915527754251308,0.2915527754251308
ABIDE-I,119,ROI_078,ROI_021,77,20,-0.2904516149526089,0.2904516149526089
ABIDE-I,120,ROI_069,ROI_001,68,0,-0.29010246842378506,0.29010246842378506
ABIDE-I,121,ROI_089,ROI_009,88,8,-0.28895613872039416,0.28895613872039416
ABIDE-I,122,ROI_031,ROI_078,30,77,-0.288902078084526,0.288902078084526
ABIDE-I,123,ROI_086,ROI_050,85,49,-0.28825670813959764,0.28825670813959764
ABIDE-I,124,ROI_038,ROI_034,37,33,-0.28774955670120983,0.28774955670120983
ABIDE-I,125,ROI_078,ROI_080,77,79,0.2872372185136291,0.2872372185136291
ABIDE-I,126,ROI_086,ROI_067,85,66,-0.2872156415177354,0.2872156415177354
ABIDE-I,127,ROI_026,ROI_003,25,2,-0.2870236430316805,0.2870236430316805
ABIDE-I,128,ROI_088,ROI_046,87,45,-0.2869494154743265,0.2869494154743265
ABIDE-I,129,ROI_038,ROI_032,37,31,-0.2869047915396863,0.2869047915396863
ABIDE-I,130,ROI_070,ROI_074,69,73,0.28624466440643054,0.28624466440643054
ABIDE-I,131,ROI_001,ROI_070,0,69,-0.28609384841449903,0.28609384841449903
ABIDE-I,132,ROI_036,ROI_076,35,75,-0.2857176556354458,0.2857176556354458
ABIDE-I,133,ROI_014,ROI_068,13,67,0.28507332401868724,0.28507332401868724
ABIDE-I,134,ROI_076,ROI_081,75,80,0.28460287415072644,0.28460287415072644
ABIDE-I,135,ROI_085,ROI_027,84,26,-0.2837506718418371,0.2837506718418371
ABIDE-I,136,ROI_072,ROI_077,71,76,-0.2835606167279327,0.2835606167279327
ABIDE-I,137,ROI_015,ROI_021,14,20,0.28354759187588263,0.28354759187588263
ABIDE-I,138,ROI_074,ROI_085,73,84,0.28345736773218744,0.28345736773218744
ABIDE-I,139,ROI_067,ROI_088,66,87,-0.28334003551146364,0.28334003551146364
ABIDE-I,140,ROI_075,ROI_079,74,78,0.28316704550839256,0.28316704550839256
ABIDE-I,141,ROI_089,ROI_041,88,40,0.2831261295043781,0.2831261295043781
ABIDE-I,142,ROI_034,ROI_019,33,18,0.2831167524350983,0.2831167524350983
ABIDE-I,143,ROI_060,ROI_090,59,89,-0.2824345571403872,0.2824345571403872
ABIDE-I,144,ROI_088,ROI_074,87,73,0.28238415140625234,0.28238415140625234
ABIDE-I,145,ROI_089,ROI_007,88,6,-0.28207674461262905,0.28207674461262905
ABIDE-I,146,ROI_050,ROI_086,49,85,-0.28197640398337076,0.28197640398337076
ABIDE-I,147,ROI_073,ROI_014,72,13,-0.2819434880084104,0.2819434880084104
ABIDE-I,148,ROI_041,ROI_089,40,88,0.28174962997831476,0.28174962997831476
ABIDE-I,149,ROI_068,ROI_014,67,13,0.28147330147794236,0.28147330147794236
ABIDE-I,150,ROI_077,ROI_078,76,77,-0.28128875549759624,0.28128875549759624
ABIDE-I,151,ROI_041,ROI_085,40,84,0.28122029513940716,0.28122029513940716
ABIDE-I,152,ROI_070,ROI_058,69,57,-0.28112160637799594,0.28112160637799594
ABIDE-I,153,ROI_044,ROI_050,43,49,0.2803426333602151,0.2803426333602151
ABIDE-I,154,ROI_007,ROI_089,6,88,-0.2793581421143909,0.2793581421143909
ABIDE-I,155,ROI_090,ROI_060,89,59,-0.2790516451093272,0.2790516451093272
ABIDE-I,156,ROI_082,ROI_074,81,73,0.27894906768935035,0.27894906768935035
ABIDE-I,157,ROI_037,ROI_034,36,33,-0.2789469684600918,0.2789469684600918
ABIDE-I,158,ROI_090,ROI_051,89,50,-0.2788490439118591,0.2788490439118591
ABIDE-I,159,ROI_074,ROI_069,73,68,0.27796627482401365,0.27796627482401365
ABIDE-I,160,ROI_078,ROI_056,77,55,0.2778094386218428,0.2778094386218428
ABIDE-I,161,ROI_023,ROI_068,22,67,-0.27733162048107557,0.27733162048107557
ABIDE-I,162,ROI_003,ROI_028,2,27,-0.2771629426164941,0.2771629426164941
ABIDE-I,163,ROI_055,ROI_072,54,71,0.2770545402049587,0.2770545402049587
ABIDE-I,164,ROI_034,ROI_038,33,37,-0.2769000102792643,0.2769000102792643
ABIDE-I,165,ROI_056,ROI_076,55,75,0.27668063666875875,0.27668063666875875
ABIDE-I,166,ROI_005,ROI_078,4,77,-0.2765460750283892,0.2765460750283892
ABIDE-I,167,ROI_024,ROI_068,23,67,-0.27635331035833366,0.27635331035833366
ABIDE-I,168,ROI_009,ROI_085,8,84,-0.276160504857037,0.276160504857037
ABIDE-I,169,ROI_076,ROI_070,75,69,0.2760385195406697,0.2760385195406697
ABIDE-I,170,ROI_085,ROI_059,84,58,-0.2756458263526439,0.2756458263526439
ABIDE-I,171,ROI_028,ROI_032,27,31,-0.2754594090246898,0.2754594090246898
ABIDE-I,172,ROI_088,ROI_038,87,37,0.2752817724298544,0.2752817724298544
ABIDE-I,173,ROI_032,ROI_026,31,25,-0.2752559386758202,0.2752559386758202
ABIDE-I,174,ROI_034,ROI_037,33,36,-0.2752283901512644,0.2752283901512644
ABIDE-I,175,ROI_001,ROI_069,0,68,-0.274791225412022,0.274791225412022
ABIDE-I,176,ROI_033,ROI_037,32,36,-0.27402912260042783,0.27402912260042783
ABIDE-I,177,ROI_055,ROI_038,54,37,0.27363910497760036,0.27363910497760036
ABIDE-I,178,ROI_057,ROI_012,56,11,0.2733761722371272,0.2733761722371272
ABIDE-I,179,ROI_027,ROI_085,26,84,-0.27242241078637086,0.27242241078637086
ABIDE-I,180,ROI_050,ROI_044,49,43,0.2717466496505506,0.2717466496505506
ABIDE-I,181,ROI_089,ROI_003,88,2,-0.2716111560320237,0.2716111560320237
ABIDE-I,182,ROI_076,ROI_036,75,35,-0.2712583979633733,0.2712583979633733
ABIDE-I,183,ROI_057,ROI_077,56,76,0.2708047787606814,0.2708047787606814
ABIDE-I,184,ROI_058,ROI_070,57,69,-0.27051867024453674,0.27051867024453674
ABIDE-I,185,ROI_078,ROI_064,77,63,0.2704754232262897,0.2704754232262897
ABIDE-I,186,ROI_037,ROI_089,36,88,0.270296289806182,0.270296289806182
ABIDE-I,187,ROI_013,ROI_026,12,25,0.2699365779265864,0.2699365779265864
ABIDE-I,188,ROI_012,ROI_057,11,56,0.26985743946090945,0.26985743946090945
ABIDE-I,189,ROI_042,ROI_088,41,87,0.26954679738612164,0.26954679738612164
ABIDE-I,190,ROI_029,ROI_031,28,30,0.2691646642354369,0.2691646642354369
ABIDE-I,191,ROI_075,ROI_086,74,85,0.26916133241752893,0.26916133241752893
ABIDE-I,192,ROI_072,ROI_076,71,75,-0.26910433058079325,0.26910433058079325
ABIDE-I,193,ROI_074,ROI_075,73,74,-0.268520807019374,0.268520807019374
ABIDE-I,194,ROI_086,ROI_077,85,76,0.2682658543386267,0.2682658543386267
ABIDE-I,195,ROI_077,ROI_070,76,69,0.268265761226088,0.268265761226088
ABIDE-I,196,ROI_007,ROI_031,6,30,0.2682047758892798,0.2682047758892798
ABIDE-I,197,ROI_068,ROI_024,67,23,-0.26797044677968823,0.26797044677968823
ABIDE-I,198,ROI_088,ROI_065,87,64,-0.267362041707828,0.267362041707828
ABIDE-I,199,ROI_006,ROI_068,5,67,-0.26701357045140695,0.26701357045140695
ABIDE-I,200,ROI_003,ROI_089,2,88,-0.2668201548611963,0.2668201548611963
ABIDE-I,201,ROI_017,ROI_077,16,76,0.26531553783751866,0.26531553783751866
ABIDE-I,202,ROI_090,ROI_034,89,33,-0.2650799625367736,0.2650799625367736
ABIDE-I,203,ROI_077,ROI_005,76,4,-0.2650787011219289,0.2650787011219289
ABIDE-I,204,ROI_050,ROI_090,49,89,-0.2649183765999516,0.2649183765999516
ABIDE-I,205,ROI_065,ROI_088,64,87,-0.2644871840121931,0.2644871840121931
ABIDE-I,206,ROI_088,ROI_067,87,66,-0.2636939163979832,0.2636939163979832
ABIDE-I,207,ROI_037,ROI_033,36,32,-0.2632164728063376,0.2632164728063376
ABIDE-I,208,ROI_086,ROI_037,85,36,0.26311348341521434,0.26311348341521434
ABIDE-I,209,ROI_014,ROI_088,13,87,0.2630214884358799,0.2630214884358799
ABIDE-I,210,ROI_012,ROI_070,11,69,0.26278490991517933,0.26278490991517933
ABIDE-I,211,ROI_085,ROI_009,84,8,-0.2627193010970129,0.2627193010970129
ABIDE-I,212,ROI_013,ROI_021,12,20,0.26229500629062336,0.26229500629062336
ABIDE-I,213,ROI_046,ROI_088,45,87,-0.26224285049111895,0.26224285049111895
ABIDE-I,214,ROI_032,ROI_078,31,77,-0.2620085090561391,0.2620085090561391
ABIDE-I,215,ROI_072,ROI_071,71,70,-0.2620025571353295,0.2620025571353295
ABIDE-I,216,ROI_013,ROI_031,12,30,0.2619152407301039,0.2619152407301039
ABIDE-I,217,ROI_003,ROI_086,2,85,-0.2618906122730764,0.2618906122730764
ABIDE-I,218,ROI_088,ROI_032,87,31,-0.2616748651259465,0.2616748651259465
ABIDE-I,219,ROI_086,ROI_014,85,13,0.26136197583935034,0.26136197583935034
ABIDE-I,220,ROI_031,ROI_039,30,38,-0.2613155255040438,0.2613155255040438
ABIDE-I,221,ROI_067,ROI_086,66,85,-0.2609734251370064,0.2609734251370064
ABIDE-I,222,ROI_031,ROI_040,30,39,-0.26047603740418024,0.26047603740418024
ABIDE-I,223,ROI_085,ROI_039,84,38,0.260462127082178,0.260462127082178
ABIDE-I,224,ROI_090,ROI_067,89,66,-0.26025343744309354,0.26025343744309354
ABIDE-I,225,ROI_074,ROI_077,73,76,-0.2602046996947429,0.2602046996947429
ABIDE-I,226,ROI_031,ROI_026,30,25,-0.2601833363903685,0.2601833363903685
ABIDE-I,227,ROI_032,ROI_028,31,27,-0.26012700764172836,0.26012700764172836
ABIDE-I,228,ROI_090,ROI_016,89,15,0.26004390980356873,0.26004390980356873
ABIDE-I,229,ROI_081,ROI_035,80,34,0.2598183826012392,0.2598183826012392
ABIDE-I,230,ROI_062,ROI_024,61,23,0.2597336907299272,0.2597336907299272
ABIDE-I,231,ROI_036,ROI_081,35,80,0.25950773960590123,0.25950773960590123
ABIDE-I,232,ROI_064,ROI_078,63,77,0.25937812305996166,0.25937812305996166
ABIDE-I,233,ROI_027,ROI_068,26,67,-0.2592954404805446,0.2592954404805446
ABIDE-I,234,ROI_059,ROI_068,58,67,0.2590719541556745,0.2590719541556745
ABIDE-I,235,ROI_040,ROI_033,39,32,-0.2590551579070965,0.2590551579070965
ABIDE-I,236,ROI_012,ROI_028,11,27,0.25888304873359924,0.25888304873359924
ABIDE-I,237,ROI_038,ROI_055,37,54,0.25865086151602634,0.25865086151602634
ABIDE-I,238,ROI_090,ROI_050,89,49,-0.25851939293671095,0.25851939293671095
ABIDE-I,239,ROI_068,ROI_023,67,22,-0.25669124000667953,0.25669124000667953
ABIDE-I,240,ROI_032,ROI_088,31,87,-0.25635816116621546,0.25635816116621546
ABIDE-I,241,ROI_058,ROI_077,57,76,0.25632559372022523,0.25632559372022523
ABIDE-I,242,ROI_075,ROI_074,74,73,-0.2563136328785912,0.2563136328785912
ABIDE-I,243,ROI_014,ROI_027,13,26,0.256292360768898,0.256292360768898
ABIDE-I,244,ROI_081,ROI_076,80,75,0.25609101765534587,0.25609101765534587
ABIDE-I,245,ROI_078,ROI_088,77,87,0.2560653002037036,0.2560653002037036
ABIDE-I,246,ROI_043,ROI_038,42,37,-0.2557813653676298,0.2557813653676298
ABIDE-I,247,ROI_086,ROI_074,85,73,0.2554919049317156,0.2554919049317156
ABIDE-I,248,ROI_078,ROI_090,77,89,0.2549394481226469,0.2549394481226469
ABIDE-I,249,ROI_064,ROI_068,63,67,0.2548686816300978,0.2548686816300978
ABIDE-I,250,ROI_090,ROI_049,89,48,-0.2547107024013911,0.2547107024013911
ABIDE-I,251,ROI_024,ROI_062,23,61,0.25459981127607134,0.25459981127607134
ABIDE-I,252,ROI_044,ROI_045,43,44,0.25455844559202434,0.25455844559202434
ABIDE-I,253,ROI_026,ROI_014,25,13,0.2540642257214805,0.2540642257214805
ABIDE-I,254,ROI_024,ROI_031,23,30,-0.25404364157873854,0.25404364157873854
ABIDE-I,255,ROI_012,ROI_073,11,72,-0.25400400425827124,0.25400400425827124
ABIDE-I,256,ROI_014,ROI_025,13,24,0.2539875314816652,0.2539875314816652
ABIDE-I,257,ROI_059,ROI_034,58,33,0.25366137413616213,0.25366137413616213
ABIDE-I,258,ROI_012,ROI_086,11,85,0.2533009913840176,0.2533009913840176
ABIDE-I,259,ROI_073,ROI_023,72,22,0.2523915512441195,0.2523915512441195
ABIDE-I,260,ROI_067,ROI_026,66,25,-0.2519158789669072,0.2519158789669072
ABIDE-I,261,ROI_028,ROI_067,27,66,-0.25151015845444136,0.25151015845444136
ABIDE-I,262,ROI_052,ROI_044,51,43,0.2515054164627343,0.2515054164627343
ABIDE-I,263,ROI_046,ROI_044,45,43,0.251486061837844,0.251486061837844
ABIDE-I,264,ROI_029,ROI_014,28,13,-0.25136395124688327,0.25136395124688327
ABIDE-I,265,ROI_071,ROI_055,70,54,0.2509859381026433,0.2509859381026433
ABIDE-I,266,ROI_085,ROI_041,84,40,0.25092684177642693,0.25092684177642693
ABIDE-I,267,ROI_074,ROI_058,73,57,0.2506170137094497,0.2506170137094497
ABIDE-I,268,ROI_071,ROI_077,70,76,-0.2506148909186147,0.2506148909186147
ABIDE-I,269,ROI_024,ROI_028,23,27,-0.2504894045308589,0.2504894045308589
ABIDE-I,270,ROI_013,ROI_025,12,24,0.25038850845114874,0.25038850845114874
ABIDE-I,271,ROI_071,ROI_078,70,77,-0.2501595164098562,0.2501595164098562
ABIDE-I,272,ROI_022,ROI_078,21,77,-0.24993494252015916,0.24993494252015916
ABIDE-I,273,ROI_089,ROI_037,88,36,0.24986439813561384,0.24986439813561384
ABIDE-I,274,ROI_044,ROI_052,43,51,0.24979741380582512,0.24979741380582512
ABIDE-I,275,ROI_090,ROI_045,89,44,-0.24974824455694214,0.24974824455694214
ABIDE-I,276,ROI_076,ROI_078,75,77,-0.24970593827287113,0.24970593827287113
ABIDE-I,277,ROI_026,ROI_076,25,75,-0.24966346263529773,0.24966346263529773
ABIDE-I,278,ROI_086,ROI_003,85,2,-0.2494913633250469,0.2494913633250469
ABIDE-I,279,ROI_049,ROI_090,48,89,-0.249381003834647,0.249381003834647
ABIDE-I,280,ROI_089,ROI_040,88,39,0.24930369729812624,0.24930369729812624
ABIDE-I,281,ROI_070,ROI_012,69,11,0.24912310130102308,0.24912310130102308
ABIDE-I,282,ROI_088,ROI_045,87,44,-0.249092797730754,0.249092797730754
ABIDE-I,283,ROI_016,ROI_028,15,27,0.24876980197323115,0.24876980197323115
ABIDE-I,284,ROI_074,ROI_079,73,78,0.24875869908083653,0.24875869908083653
ABIDE-I,285,ROI_088,ROI_034,87,33,-0.2484280342926376,0.2484280342926376
ABIDE-I,286,ROI_068,ROI_006,67,5,-0.248148496205215,0.248148496205215
ABIDE-I,287,ROI_039,ROI_034,38,33,-0.24795645170154354,0.24795645170154354
ABIDE-I,288,ROI_070,ROI_076,69,75,0.2479174967268054,0.2479174967268054
ABIDE-I,289,ROI_034,ROI_070,33,69,0.24783196042097067,0.24783196042097067
ABIDE-I,290,ROI_085,ROI_074,84,73,0.24726776074847306,0.24726776074847306
ABIDE-I,291,ROI_023,ROI_088,22,87,-0.24713995112310552,0.24713995112310552
ABIDE-I,292,ROI_056,ROI_078,55,77,0.24663240677889964,0.24663240677889964
ABIDE-I,293,ROI_039,ROI_033,38,32,-0.24657806209706964,0.24657806209706964
ABIDE-I,294,ROI_077,ROI_047,76,46,0.2464361137894148,0.2464361137894148
ABIDE-I,295,ROI_044,ROI_046,43,45,0.246373374507883,0.246373374507883
ABIDE-I,296,ROI_057,ROI_074,56,73,0.24628265164898333,0.24628265164898333
ABIDE-I,297,ROI_050,ROI_084,49,83,-0.24539927544052173,0.24539927544052173
ABIDE-I,298,ROI_060,ROI_055,59,54,-0.2446982413008307,0.2446982413008307
ABIDE-I,299,ROI_084,ROI_050,83,49,-0.2446114961861056,0.2446114961861056
ABIDE-I,300,ROI_068,ROI_064,67,63,0.2439773822826015,0.2439773822826015
ABIDE-I,301,ROI_070,ROI_034,69,33,0.24377095786808184,0.24377095786808184
ABIDE-I,302,ROI_059,ROI_085,58,84,-0.2435824710154897,0.2435824710154897
ABIDE-I,303,ROI_034,ROI_058,33,57,0.2434631124792613,0.2434631124792613
ABIDE-I,304,ROI_075,ROI_082,74,81,0.2431471853287125,0.2431471853287125
ABIDE-I,305,ROI_013,ROI_040,12,39,0.24279755824739044,0.24279755824739044
ABIDE-I,306,ROI_073,ROI_012,72,11,-0.2427466097727048,0.2427466097727048
ABIDE-I,307,ROI_070,ROI_069,69,68,-0.2427370774426535,0.2427370774426535
ABIDE-I,308,ROI_068,ROI_059,67,58,0.24273346020284794,0.24273346020284794
ABIDE-I,309,ROI_050,ROI_043,49,42,0.2426825713527818,0.2426825713527818
ABIDE-I,310,ROI_013,ROI_032,12,31,0.2426601250369413,0.2426601250369413
ABIDE-I,311,ROI_031,ROI_029,30,28,0.2426209785829637,0.2426209785829637
ABIDE-I,312,ROI_014,ROI_023,13,22,0.24260660705259487,0.24260660705259487
ABIDE-I,313,ROI_045,ROI_044,44,43,0.24245134360218962,0.24245134360218962
ABIDE-I,314,ROI_039,ROI_085,38,84,0.24234597203952923,0.24234597203952923
